,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters,RFD##length##millimeters
1,25,124,17.5,25,11.1,102,68
1.25,32,133,19,32,11.1,108,78
1.5,40,156,20.6,38,11.1,114,91
2,50,165,22.2,51,11.1,127,106
2.5,65,191,25.4,64,12.7,140,125
3,80,210,28.6,76,14.3,152,144
3.5,90,229,30.2,89,14.3,165,160
4,100,254,31.8,102,15.9,178,176
5,125,279,34.9,127,17.5,203,211
6,150,318,36.5,152,19,216,246
8,200,381,41.3,203,20.6,254,303
10,250,445,47.6,254,23.8,292,357
12,300,521,50.8,305,25.4,330,418
14,350,584,54,337,28.6,381,481
16,400,648,57.2,387,31.8,419,535
18,450,711,60.3,432,34.9,457,592
20,500,775,63.5,483,38.1,495,649
24,600,916,69.8,584,41.3,572,770
30,750,1092,76.2,737,50.8,699,945
