,ND##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,CtE##length##millimeters,CtME##length##millimeters,ETL##length##millimeters,MEPD##length##millimeters
0.125,6,5.1,10.3,2.29,17.6,17.5,25.4,6.7,5.1
0.25,8,5.5,13.7,2.41,21.4,20.6,30.2,10.2,6.6
0.375,10,5.8,17.1,2.54,25.8,24.1,36.6,10.36,9.4
0.5,15,6.3,21.3,2.67,30.4,28.5,41.2,13.56,13
0.75,20,6.9,26.7,3.05,37,33.3,48,13.86,17.5
1,25,7.7,33.4,3.4,45,38.1,54.4,17.34,23.1
1.25,32,8.7,42.2,3.68,54.7,44.5,62.2,17.94,30.2
1.5,40,9.3,48.3,3.94,61.6,49.3,68.3,18.38,35.3
2,50,10.7,60.3,4.39,75.3,57.2,82.8,19.22,45.5
2.5,65,12.1,73,5.33,91.2,68.6,98,28.96,55.9
3,80,13.9,88.9,5.87,108.8,78.2,114.6,30.48,70.6
4,100,16.8,114.4,6.73,137.2,96.3,144.5,33.02,94
5,125,19.8,141.3,7.62,167.2,114.3,174.2,35.72,119.1
6,150,22.9,168.3,8.53,197.3,130.3,204,38.42,144
