,ND1##length##millimeters,ND2##length##millimeters,ND3##length##millimeters,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,SBtSBR##length##inches,CtSBR##length##inches,CtSBB##length##inches
2x1.5x1.5,50,40,40,2.39,0.75,0.156,2.375,4.625,1.063,3.375
2x1.5x2,50,40,50,2.39,0.75,0.156,2.375,4.625,1.063,3.438
2x2x1.5,50,50,40,2.39,0.75,0.156,2.375,4.375,1.063,3.438
3x3x1.5,80,80,40,3.52,1.5,0.219,3.5,4.25,0.5,4.313
3x3x2,80,80,50,3.52,1.5,0.219,3.5,5,0.875,4.625
4x4x1.5,100,100,40,4.52,1.75,0.25,4.5,4.313,0,5
4x4x2,100,100,50,4.52,1.75,0.25,4.5,5.063,0.375,5.563
4x4x3,100,100,80,4.52,1.75,0.25,4.5,6.625,1.063,6
6x6x3,150,150,80,6.647,3,0.281,6.625,7.25,0.25,7.5
6x6x4,150,150,100,6.647,3,0.281,6.625,7.25,0.25,7.5
8x8x6,200,200,150,8.655,4,0.328,8.625,10.5,1,9.813
10x10x8,250,250,200,10.78,5,0.365,10.75,14.375,1.313,12.984
12x12x8,300,300,200,12.78,6,0.406,12.75,13.625,0.5,13.875
12x12x10,300,300,250,12.78,6,0.406,12.75,17.063,1.875,14.938
1.5,40,-1,-1,1.915,0.687,0.156,1.9,-1,-1,-1
