,ND1##length##millimeters,ND2##length##millimeters,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,SBtSBR##length##inches,CtSBR##length##inches,CtSBB##length##inches
3,80,80,3.52,1.5,0.219,3.5,7.391,6.25,6.281
4,100,100,4.52,1.75,0.25,4.5,10.484,8.719,8.594
6,150,150,6.647,3,0.281,6.625,10.219,11.172,11.484
8,200,200,8.655,4,0.328,8.625,14.031,14.813,14.531
10,250,250,10.78,5,0.365,10.75,16.375,18.313,18.25
12,300,300,12.78,6,0.406,12.75,19.063,21.25,21.125
4x4x3,100,80,4.52,1.75,0.25,4.5,7.4375,6.375,6.875
6x6x3,150,80,6.647,3,0.281,6.625,7.25,8,8.875
6x6x4,150,100,6.647,3,0.281,6.625,8.25,7.5,9
8x8x4,200,100,8.655,4,0.328,8.625,10.5,11.3125,11.75
10x10x4,250,100,10.78,5,0.365,10.75,14.3125,15.140625,16.015625
10x10x6,250,150,10.78,5,0.365,10.75,14.3125,15.21875,15.96875
10x10x8,250,200,10.78,5,0.365,10.75,14.3125,14.78125,15.53125
12x12x4,300,100,12.78,6,0.406,12.75,13.5625,14.96875,16.65625
12x12x6,300,150,12.78,6,0.406,12.75,13.5625,15.046875,16.59375
12x12x8,300,200,12.78,6,0.406,12.75,13.5625,14.59375,16.15625
12x12x10,300,250,12.78,6,0.406,12.75,17,18.203125,19.4375
