,ND##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,FID##length##millimeters,WThk##length##millimeters,FOD##length##millimeters,CtCS##length##millimeters,SCtCS##length##millimeters
1,25,9.6,50.8,25,4,110,89,44
1.25,32,11.2,63.5,32,4.8,115,95,44
1.5,40,12.7,73,38,4.8,125,102,51
2,50,14.3,92.1,51,5.6,150,114,64
2.5,65,15.9,104.8,64,5.6,180,127,64
3,80,17.5,127,76,5.6,190,140,76
3.5,90,19.1,139.7,89,6.4,215,152,76
4,100,22.3,157.2,102,6.4,230,165,76
5,125,22.3,185.7,127,7.1,255,190,89
6,150,23.9,215.9,152,7.1,280,203,89
8,200,27,269.9,203,7.9,345,229,114
10,250,28.6,323.8,254,8.7,405,279,127
12,300,30.2,381,305,9.5,485,305,140
14,350,33.4,412.8,337,10.3,535,356,152
16,400,35,469.9,387,11.1,595,381,165
18,450,38.1,533.4,438,11.9,635,419,178
20,500,41.3,584.2,489,12.7,700,457,203
24,600,46.1,692.2,591,14.5,815,559,229
