,Nominal Size 0##length##inches,Nominal Size 1##length##inches,N##length##inches
3/4 x 1/2,0.75,0.5,0.31
1/2 x 3/4,0.5,0.75,0.31
1 x 3/4,1,0.75,0.38
3/4 x 1,0.75,1,0.38
1 1/4 x 1,1.25,1,0.38
1 x 1 1/4,1,1.25,0.38
1 1/4 x 3/4,1.25,0.75,0.38
3/4 x 1 1/4,0.75,1.25,0.38
1 1/2 x 1 1/4,1.5,1.25,0.38
1 1/4 x 1 1/2,1.25,1.5,0.38
1 1/2 x 1,1.5,1,0.38
1 x 1 1/2,1,1.5,0.38
1 1/2 x 3/4,1.5,0.75,0.44
3/4 x 1 1/2,0.75,1.5,0.44
2 x 1 1/4,2,1.25,0.5
1 1/4 x 2,1.25,2,0.5
2 x 1 1/2,2,1.5,0.5
1 1 /2 x 2,1.5,2,0.5
2 x 1,2,1,0.5
1 x 2,1,2,0.5
2 x 3/4,2,0.75,0.5
3/4 x 2,0.75,2,0.5
2 1/2 x 2,2.5,2,0.56
2 x 2 1/2,2,2.5,0.56
2 1/2 x 1 1/2,2.5,1.5,0.56
1 1/2 x 2 1/2,1.5,2.5,0.56
2 1/2 x 1 1/4,2.5,1.25,0.62
1 1/4 x 2 1/2,1.25,2.5,0.62
2 1/2 x 1,2.5,1,0.62
1 x 2 1/2,1,2.5,0.62
3 x 2 1/2,3,2.5,0.62
2 1/2 x 3,2.5,3,0.62
3 x 2,3,2,0.62
2 x 3,2,3,0.62
4 x 3,4,3,0.69
3 x 4,3,4,0.69
4 x 2 1/2,4,2.5,1.12
2 1/2 x 4,2.5,4,1.12
4 x 2,4,2,1.19
2 x 4,2,4,1.19
6 x 4,6,4,1.31
4 x 6,4,6,1.31
8 x 6,8,6,1.38
6 x 8,6,8,1.38
