,ND##length##inches,COD##length##inches,PLgt3##length##inches,PLgt1##length##inches,POD##length##inches
0.125,0.125,0.553,0.0625,0.5,0.435
0.25,0.25,0.728,0.0625,0.5,0.58
0.375,0.375,0.869,0.0938,0.594,0.717
0.5,0.5,1.142,0.0938,0.875,0.84
0.75,0.75,1.366,0.0938,1,1.05
1,1,1.683,0.0938,1.125,1.315
1.25,1.25,2.052,0.0938,1.25,1.66
1.5,1.5,2.312,0.0938,1.375,1.9
2,2,2.823,0.0938,1.5,2.375
2.5,2.5,3.441,0.1875,1.75,2.875
3,3,4.116,0.1875,1.875,3.5
3.5,3.5,4.652,0.1875,2.125,4
4,4,5.192,0.1875,2.25,4.5
5,5,6.333,0.1875,2.625,5.563
6,6,7.511,0.25,3,6.625
8,8,9.655,0.25,4,8.625
