,ND1##length##inches,POD##length##inches,FOD##length##inches,FWid##length##inches,PLgt1##length##inches,PLgt2##length##inches
1,1,1.315,4.250,0.440,1.750,5.750
1.25,1.25,1.660,4.620,0.500,1.750,6.250
1.5,1.5,1.900,5.000,0.560,2.000,7.000
2,2,2.375,6.000,0.620,2.500,8.000
2.5,2.5,2.875,7.000,0.690,2.500,9.500
3,3,3.500,7.500,0.750,3.000,10.000
3.5,3.5,4.000,8.500,0.810,3.000,11.500
4,4,4.500,9.000,0.940,3.000,12.000
5,5,5.563,10.000,0.940,3.500,13.500
6,6,6.625,11.000,1.000,3.500,14.500
8,8,8.625,13.500,1.120,4.500,17.500
10,10,10.750,16.000,1.190,5.000,20.500
12,12,12.750,19.000,1.250,6.500,24.500
14,14,14.000,21.000,1.380,6.000,27.000
16,16,16.000,23.500,1.440,6.500,30.000
18,18,18.000,25.000,1.560,7.000,32.000
20,20,20.000,27.500,1.690,8.000,35.000
24,24,24.000,32.000,1.880,9.000,40.500
