,ND##length##inches,POD##length##inches,FOD##length##inches,FWid##length##inches,PLgt##length##inches
1,1,1.315,4.250,0.440,3.500
1.25,1.25,1.660,4.625,0.500,3.750
1.5,1.5,1.900,5.000,0.560,4.000
2,2,2.375,6.000,0.620,4.500
2.5,2.5,2.875,7.000,0.690,5.000
3,3,3.500,7.500,0.750,5.500
3.5,3.5,4.000,8.500,0.810,6.000
4,4,4.500,9.000,0.940,6.500
5,5,5.563,10.000,0.940,7.500
6,6,6.625,10.000,1.000,8.000
8,8,8.625,11.000,1.120,9.000
10,10,10.750,13.500,1.190,11.000
12,12,12.750,16.000,1.250,12.000
14,14,14.000,19.000,1.380,14.000
16,16,16.000,21.000,1.440,15.000
18,18,18.000,23.500,1.560,16.500
20,20,20.000,25.000,1.690,18.000
24,24,24.000,32.000,1.880,22.000
