,ND##length##inches,POD##length##inches,FOD##length##inches,FWid##length##inches,CRad##length##inches,SHgt##length##inches,BLgt##length##inches,BHgt##length##inches
2,2,2.375,6,0.62,4.5,3.62,4.62,0.5
2.5,2.5,2.875,7,0.69,5,4,4.62,0.5
3,3,3.5,7.5,0.75,5.5,4.32,5,0.56
3.5,3.5,4,8.5,0.81,6,4.69,5,0.56
4,4,4.5,9,0.94,6.5,4.88,6,0.62
5,5,5.563,10,0.94,7.5,5.56,7,0.69
6,6,6.625,10,1,8,6.31,7,0.69
8,8,8.625,11,1.12,9,7.44,9,0.94
10,10,10.75,13.5,1.19,11,8.81,9,0.94
12,12,12.75,16,1.25,12,10.25,11,1
14,14,14,19,1.38,14,11.5,11,1
16,16,16,21,1.44,15,12.75,11,1
18,18,18,23.5,1.56,16.5,13.88,13.5,1.12
20,20,20,25,1.69,18,14.88,13.5,1.12
24,24,24,32,1.88,22,17.38,13.5,1.12
