,ND##length##inches,POD##length##inches,FOD##length##inches,FWid##length##inches,PLgt1##length##inches,PLgt2##length##inches
1,1,1.315,4.25,0.44,1.75,3.5
1.25,1.25,1.66,4.625,0.5,1.75,3.75
1.5,1.5,1.9,5,0.56,2,4
2,2,2.375,6,0.62,2.5,4.5
2.5,2.5,2.875,7,0.69,2.5,5
3,3,3.5,7.5,0.75,3,5.5
3.5,3.5,4,8.5,0.81,3,6
4,4,4.5,9,0.94,3,6.5
5,5,5.563,10,0.94,3.5,7.5
6,6,6.625,10,1,3.5,8
8,8,8.625,11,1.12,4.5,9
10,10,10.75,13.5,1.19,5,11
12,12,12.75,16,1.25,6.5,12
14,14,14,19,1.38,6,14
16,16,16,21,1.44,6.5,15
18,18,18,23.5,1.56,7,16.5
20,20,20,25,1.69,8,18
24,24,24,32,1.88,9,22
