,Nominal Size##length##inches,POD##length##inches,FOD##length##inches,FWid##length##inches,CRad##length##inches
1,1,1.315,4.25,0.44,5
1.25,1.25,1.66,4.625,0.5,5.5
1.5,1.5,1.9,5,0.56,6
2,2,2.375,6,0.62,6.5
2.5,2.5,2.875,7,0.69,7
3,3,3.5,7.5,0.75,7.75
3.5,3.5,4,8.5,0.81,8.5
4,4,4.5,9,0.94,9
5,5,5.563,10,0.94,10.25
6,6,6.625,10,1,11.5
8,8,8.625,11,1.12,14
10,10,10.75,13.5,1.19,16.5
12,12,12.75,16,1.25,19
14,14,14,19,1.38,21.5
16,16,16,21,1.44,24
18,18,18,23.5,1.56,26.5
20,20,20,25,1.69,29
24,24,24,32,1.88,34
