,ND1##length##millimeters,ND2##length##millimeters,NOD##length##millimeters,EWid##length##millimeters,Lgt##length##millimeters
50x25,50,25,63,62,134
50x32,50,32,63,62,132
50x40,50,40,63,62,128
80x32,80,32,90,78,168
80x40,80,40,90,78,168
80x50,80,50,90,78,163
100x32,100,32,110,80,183
100x40,100,40,110,80,183
100x50,100,50,110,80,183
100x80,100,80,110,80,175
150x40,150,40,160,95,233
150x50,150,50,160,95,233
150x80,150,80,160,95,233
150x100,150,100,160,95,218
200x40,200,40,200,110,250
200x50,200,50,200,110,260
200x80,200,80,200,110,270
200x100,200,100,200,110,273
200x150,200,150,200,110,239
250x150,250,150,250,127,280
250x200,250,200,250,127,280
300x250,300,250,315,80,263
400x300,400,300,400,90,244
450x400,450,400,450,95,228
25x50,25,50,32,45,134
32x50,32,50,40,50,132
40x50,40,50,50,55,128
32x80,32,80,40,50,168
40x80,40,80,50,55,168
50x80,50,80,63,62,163
32x100,32,100,40,50,183
40x100,40,100,50,55,183
50x100,50,100,63,62,183
80x100,80,100,90,78,175
40x150,40,150,50,55,233
50x150,50,150,63,62,233
80x150,80,150,90,78,233
100x150,100,150,110,80,218
40x200,40,200,50,55,250
50x200,50,200,63,62,260
80x200,80,200,90,78,270
100x200,100,200,110,80,273
150x200,150,200,160,95,239
150x250,150,250,160,95,280
200x250,200,250,200,110,280
250x300,250,300,250,127,263
300x400,300,400,315,80,244
400x450,400,450,400,90,228
