,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,FtF##length##millimeters
1,1,108,11.1,25,7.9,100.99
1.25,1.25,118,12.7,32,7.9,107.5
1.5,1.5,127,14.3,38,7.9,114.94
2,2,152,15.9,51,7.9,127
2.5,2.5,178,17.5,64,7.9,140
3,3,191,19,76,9.5,152
3.5,3.5,216,23.8,89,11.1,165
4,4,229,23.8,102,12.7,178
5,5,254,23.8,127,12.7,203
6,6,279,25.4,152,14.3,229
8,8,343,28.6,203,15.9,279
10,10,406,30.2,254,19,305
12,12,483,31.8,305,20.6,356
14,14,533,34.9,356,22.2,406
16,16,597,36.5,406,25.4,457
18,18,635,39.7,457,27,483
20,20,699,42.9,508,28.6,508
24,24,813,47.6,610,31.8,610
30,30,984,54,762,36.5,762
36,36,1168,60.3,914,41.3,914
42,42,1346,66.7,1067,46,1067
48,48,1511,69.9,1219,50.8,1219
