,ND1##length##millimeters,ND2##length##millimeters,FOD##length##millimeters,EOD##length##millimeters,SID##length##millimeters,WThk##length##millimeters,Lgt##length##millimeters,FLgt##length##millimeters
20x15,20,15,22.22,30.1,22.5,1,60,15
25x15,25,15,28.58,36.4,28.9,1,75,30
25x20,25,20,28.58,36.4,28.9,1,64,16
32x15,32,15,34,45.4,34.8,1,109,49
32x20,32,20,34,45.4,34.8,1,103,40
32x25,32,25,34,45.4,34.8,1,90,27
40x15,40,15,42.7,56.2,43.5,1.2,139,71
40x20,40,20,42.7,56.2,43.5,1.2,134,63
40x25,40,25,42.7,56.2,43.5,1.2,121,50
40x32,40,32,42.7,56.2,43.5,1.2,122,36
50x15,50,15,48.6,63.2,49.5,1.2,149,76
50x20,50,20,48.6,63.2,49.5,1.2,144,68
50x25,50,25,48.6,63.2,49.5,1.2,131,55
50x32,50,32,48.6,63.2,49.5,1.2,146,55
50x40,50,40,48.6,63.2,49.5,1.2,133,34
65x50,65,50,76.1,94.7,76.7,1.2,195,90
80x50,80,50,88.9,109.5,89.5,2,250,122
80x65,80,65,88.9,109.5,89.5,2,192,79
100x50,100,50,108,132.8,108.8,2,306,173
100x65,100,65,108,132.8,108.8,2,250,122
100x80,100,80,108,132.8,108.8,2,228,93
15x20,15,20,15.88,22.2,16.3,0.8,60,15
15x25,15,25,15.88,22.2,16.3,0.8,75,30
20x25,20,25,22.22,30.1,22.5,1,64,16
15x32,15,32,15.88,22.2,16.3,0.8,109,49
20x32,20,32,22.22,30.1,22.5,1,103,40
25x32,25,32,28.58,36.4,28.9,1,90,27
15x40,15,40,15.88,22.2,16.3,0.8,139,71
20x40,20,40,22.22,30.1,22.5,1,134,63
25x40,25,40,28.58,36.4,28.9,1,121,50
32x40,32,40,34,45.4,34.8,1,122,36
15x50,15,50,15.88,22.2,16.3,0.8,149,76
20x50,20,50,22.22,30.1,22.5,1,144,68
25x50,25,50,28.58,36.4,28.9,1,131,55
32x50,32,50,34,45.4,34.8,1,146,55
40x50,40,50,42.7,56.2,43.5,1.2,133,34
50x65,50,65,48.6,63.2,49.5,1.2,195,90
50x80,50,80,48.6,63.2,49.5,1.2,250,122
65x80,65,80,76.1,94.7,76.7,1.2,192,79
50x100,50,100,48.6,63.2,49.5,1.2,306,173
65x100,65,100,76.1,94.7,76.7,1.2,250,122
80x100,80,100,88.9,109.5,89.5,2,228,93
