,ND1##length##millimeters,ND2##length##millimeters,NOD##length##millimeters,SOD##length##millimeters,SWid##length##millimeters,Lgt##length##millimeters
20x15,20,15,25,33.5,17,35
25x15,25,15,32,42,19,37
25x20,25,20,32,42,19,39
32x15,32,15,40,51.5,21,45
32x20,32,20,40,51.5,21,46
32x25,32,25,40,51.5,21,43
40x15,40,15,50,63.5,24,48
40x20,40,20,50,63.5,24,49
40x25,40,25,50,63.5,24,51
40x32,40,32,50,63.5,24,48
50x15,50,15,63,79,28,58
50x20,50,20,63,79,28,58
50x25,50,25,63,79,28,58
50x32,50,32,63,79,28,58
50x40,50,40,63,79,28,58
15x20,15,20,20,27,15,35
15x25,15,25,20,27,15,37
20x25,20,25,25,33.5,17,39
15x32,15,32,20,27,15,45
20x32,20,32,25,33.5,17,46
25x32,25,32,32,42,19,43
15x40,15,40,20,27,15,48
20x40,20,40,25,33.5,17,49
25x40,25,40,32,42,19,51
32x40,32,40,40,51.5,21,48
15x50,15,50,20,27,15,58
20x50,20,50,25,33.5,17,58
25x50,25,50,32,42,19,58
32x50,32,50,40,51.5,21,58
40x50,40,50,50,63.5,24,58
