,ND1##length##millimeters,ND2##length##millimeters,FOD##length##millimeters,MThk##length##millimeters,TLgt##length##millimeters,Lgt##length##millimeters
20x15,20,15,26.8,2.75,15,39
25x15,25,15,33.5,3.25,17,43
25x20,25,20,33.5,3.25,17,43
32x15,32,15,42.3,3.25,20,49
32x20,32,20,42.3,3.25,20,49
32x25,32,25,42.3,3.25,20,49
40x15,40,15,48,3.5,20,53
40x20,40,20,48,3.5,20,53
40x25,40,25,48,3.5,20,53
40x32,40,32,48,3.5,20,53
50x15,50,15,60,3.5,24,59
50x20,50,20,60,3.5,24,59
50x25,50,25,60,3.5,24,59
50x32,50,32,60,3.5,24,59
50x40,50,40,60,3.5,24,59
65x15,65,15,75.5,3.75,26,65
65x20,65,20,75.5,3.75,26,65
65x25,65,25,75.5,3.75,26,65
65x32,65,32,75.5,3.75,26,65
65x40,65,40,75.5,3.75,26,65
65x50,65,50,75.5,3.75,26,65
80x25,80,25,88.5,4,28,72
80x32,80,32,88.5,4,28,72
80x40,80,40,88.5,4,28,72
80x50,80,50,88.5,4,28,72
80x65,80,65,88.5,4,28,72
100x25,100,25,114,4,33,85
100x32,100,32,114,4,33,85
100x40,100,40,114,4,33,85
100x50,100,50,114,4,33,85
100x65,100,65,114,4,33,85
100x80,100,80,114,4,33,85
125x100,125,100,140,4,35,95
150x100,150,100,165,4.5,37,105
15x20,15,20,21.3,2.75,13,39
15x25,15,25,21.3,2.75,13,43
20x25,20,25,26.8,2.75,15,43
15x32,15,32,21.3,2.75,13,49
20x32,20,32,26.8,2.75,15,49
25x32,25,32,33.5,3.25,17,49
15x40,15,40,21.3,2.75,13,53
20x40,20,40,26.8,2.75,15,53
25x40,25,40,33.5,3.25,17,53
32x40,32,40,42.3,3.25,20,53
15x50,15,50,21.3,2.75,13,59
20x50,20,50,26.8,2.75,15,59
25x50,25,50,33.5,3.25,17,59
32x50,32,50,42.3,3.25,20,59
40x50,40,50,48,3.5,20,59
15x65,15,65,21.3,2.75,13,65
20x65,20,65,26.8,2.75,15,65
25x65,25,65,33.5,3.25,17,65
32x65,32,65,42.3,3.25,20,65
40x65,40,65,48,3.5,20,65
50x65,50,65,60,3.5,24,65
25x80,25,80,33.5,3.25,17,72
32x80,32,80,42.3,3.25,20,72
40x80,40,80,48,3.5,20,72
50x80,50,80,60,3.5,24,72
65x80,65,80,75.5,3.75,26,72
25x100,25,100,33.5,3.25,17,85
32x100,32,100,42.3,3.25,20,85
40x100,40,100,48,3.5,20,85
50x100,50,100,60,3.5,24,85
65x100,65,100,75.5,3.75,26,85
80x100,80,100,88.5,4,28,85
100x125,100,125,114,4,33,95
100x150,100,150,114,4,33,105
