,ND1##length##millimeters,ND2##length##millimeters,FOD##length##millimeters,EOD##length##millimeters,SID##length##millimeters,WThk##length##millimeters,CtER##length##millimeters,CtSR##length##millimeters,CtEB##length##millimeters,CtSB##length##millimeters
15x15x15,15,15,15.88,22.2,16.3,0.8,38,17,38,17
20x20x15,20,15,22.22,30.1,22.5,1,46,22,42,21
25x25x15,25,15,28.58,36.4,28.9,1,51,27,53,32
25x25x20,25,20,28.58,36.4,28.9,1,51,27,51,27
32x32x15,32,15,34,45.4,34.8,1,99,60,67,46
32x32x20,32,20,34,45.4,34.8,1,99,60,70,46
32x32x25,32,25,34,45.4,34.8,1,99,60,70,46
40x40x15,40,15,42.7,56.2,43.5,1.2,107,60,69,48
40x40x20,40,20,42.7,56.2,43.5,1.2,107,60,72,48
40x40x25,40,25,42.7,56.2,43.5,1.2,107,60,72,48
40x40x32,40,32,42.7,56.2,43.5,1.2,107,60,99,60
50x50x15,50,15,48.6,63.2,49.5,1.2,102,50,73,52
50x50x20,50,20,48.6,63.2,49.5,1.2,102,50,76,52
50x50x25,50,25,48.6,63.2,49.5,1.2,102,50,82,58
50x50x32,50,32,48.6,63.2,49.5,1.2,102,50,109,70
50x50x40,50,40,48.6,63.2,49.5,1.2,102,50,107,60
65x65x20,65,20,76.1,94.7,76.7,1.2,115,62,82,58
65x65x25,65,25,76.1,94.7,76.7,1.2,115,62,82,58
65x65x32,65,32,76.1,94.7,76.7,1.2,115,62,95,56
65x65x40,65,40,76.1,94.7,76.7,1.2,115,62,114,67
65x65x50,65,50,76.1,94.7,76.7,1.2,115,62,117,65
80x80x20,80,20,88.9,109.5,89.5,2,130,70,89,65
80x80x25,80,25,88.9,109.5,89.5,2,130,70,89,65
80x80x32,80,32,88.9,109.5,89.5,2,130,70,104,65
80x80x40,80,40,88.9,109.5,89.5,2,130,70,121,74
80x80x50,80,50,88.9,109.5,89.5,2,130,70,126,74
80x80x65,80,65,88.9,109.5,89.5,2,130,70,116,63
100x100x20,100,20,108,132.8,108.8,2,155,80,98,74
100x100x25,100,25,108,132.8,108.8,2,155,80,98,74
100x100x32,100,32,108,132.8,108.8,2,155,80,111,72
100x100x40,100,40,108,132.8,108.8,2,155,80,131,64
100x100x50,100,50,108,132.8,108.8,2,155,80,133,44
100x100x65,100,65,108,132.8,108.8,2,155,80,126,73
100x100x80,100,80,108,132.8,108.8,2,155,80,134,74
