,ND1##length##inches,ND2##length##inches,ND3##length##inches,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,CtE1##length##millimeters,CtE2##length##millimeters,CtE3##length##millimeters
0.5x0.5x0.375,0.5,0.5,0.375,12.7,21.3,4.1,34,30.2,30.2,30.2
0.5x0.375x0.5,0.5,0.375,0.5,12.7,21.3,4.1,34,31.8,30.2,31.8
0.75x0.75x0.5,0.75,0.75,0.5,14.2,26.7,4.6,41.4,33.3,33.3,35.1
0.75x0.5x0.75,0.75,0.5,0.75,14.2,26.7,4.6,41.4,36.6,35.1,36.6
1x1x0.75,1,1,0.75,15.8,33.4,5.1,49.5,38.1,38.1,39.6
1x1x0.5,1,1,0.5,15.8,33.4,5.1,49.5,36.6,36.6,38.1
1x1x0.375,1,1,0.375,15.8,33.4,5.1,49.5,33.3,33.3,36.6
1x0.75x1,1,0.75,1,15.8,33.4,5.1,49.5,41.4,39.6,41.4
1.25x1.25x1,1.25,1.25,1,17.5,42.2,5.6,60.7,44.5,44.5,46
1.25x1.25x0.75,1.25,1.25,0.75,17.5,42.2,5.6,60.7,41.4,41.4,44.5
1.25x1.25x0.5,1.25,1.25,0.5,17.5,42.2,5.6,60.7,38.1,38.1,42.9
1.25x1x1.25,1.25,1,1.25,17.5,42.2,5.6,60.7,49.3,46,49.3
1.5x1.5x1.25,1.5,1.5,1.25,19.1,48.3,6.1,68.1,50.8,50.8,52.3
1.5x1.5x1,1.5,1.5,1,19.1,48.3,6.1,68.1,46,46,50.8
1.5x1.5x0.75,1.5,1.5,0.75,19.1,48.3,6.1,68.1,42.9,42.9,47.6
1.5x1.5x0.5,1.5,1.5,0.5,19.1,48.3,6.1,68.1,41.4,41.4,46
1.5x1.25x1.5,1.5,1.25,1.5,19.1,48.3,6.1,68.1,54.1,52.3,54.1
2x2x1.5,2,2,1.5,21.3,60.3,6.6,83.3,57.2,57.2,60.5
2x2x1.25,2,2,1.25,21.3,60.3,6.6,83.3,54.1,54.1,58.7
2x2x1,2,2,1,21.3,60.3,6.6,83.3,50.8,50.8,57.2
2x2x0.75,2,2,0.75,21.3,60.3,6.6,83.3,46,46,54.1
2x2x0.5,2,2,0.5,21.3,60.3,6.6,83.3,44.5,44.5,52.3
2x1.5x2,2,1.5,2,21.3,60.3,6.6,83.3,63.5,60.5,63.5
2.5x2.5x2,2.5,2.5,2,23.9,73,7.9,98,68.3,68.3,70
2.5x2.5x1.5,2.5,2.5,1.5,23.9,73,7.9,98,62,62,66.8
2.5x2x2.5,2.5,2,2.5,23.9,73,7.9,98,74.7,70,74.7
3x3x2.5,3,3,2.5,25.4,88.9,8.9,117.3,77.7,77.7,84.1
3x3x2,3,3,2,25.4,88.9,8.9,117.3,71.4,71.4,79.5
3x2.5x3,3,2.5,3,25.4,88.9,8.9,117.3,85.9,84.1,85.9
