,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters,CtFR##length##millimeters,CtFO##length##millimeters,OSaS##length##inches,CtB##length##millimeters,SBW##length##millimeters,BThk##length##millimeters,RThk##length##millimeters
1,1,108,11.1,25,7.9,89,1,1,1,89,89,11,10
1.25,1.25,118,12.7,32,7.9,95,1,1,1,92,89,11,10
1.5,1.5,127,14.3,38,7.9,102,1,1,1,95,108,11,13
2,2,152,15.9,51,7.9,114,1,1,1,105,118,13,13
2.5,2.5,178,17.5,64,7.9,127,1,1,1,114,118,13,13
3,3,191,19,76,9.5,140,1,1,1,124,127,14,13
3.5,3.5,216,23.8,89,11.1,152,1,1,1,133,127,14,13
4,4,229,23.8,102,12.7,165,1,1,1,140,152,16,13
5,5,254,23.8,127,12.7,191,1,1,1,159,178,18,16
6,6,279,25.4,152,14.3,203,1,1,1,178,178,18,16
8,8,343,28.6,203,15.9,229,1,1,1,213,229,24,22
10,10,406,30.2,254,19,279,1,1,1,248,229,24,22
12,12,483,31.8,305,20.6,305,1,1,1,286,279,25,25
14,14,533,34.9,356,22.2,356,1,1,1,318,279,25,25
16,16,597,36.5,406,25.4,381,1,1,1,349,279,25,25
18,18,635,39.7,457,27,419,330,393,12,381,343,29,29
20,20,699,42.9,508,28.6,457,356,432,14,406,343,29,29
24,24,813,47.6,610,31.8,559,381,483,16,470,343,29,29
