,ND##length##millimeters,FOD##length##millimeters,Lgt##length##millimeters
0.75,20,26.7,38
1,25,33.4,51
1.25,32,42.2,51
1.5,40,48.3,64
2,50,60.3,76
2.5,65,73,89
3,80,88.9,89
3.5,90,101.6,102
4,100,114.3,102
5,125,141.3,127
6,150,168.3,140
8,200,219.1,152
10,250,273,178
12,300,323.8,203
14,350,355.6,330
16,400,406.4,356
18,450,457,381
20,500,508,508
22,550,559,508
24,600,610,508
26,650,660,610
28,700,711,610
30,750,762,610
32,800,813,610
34,850,864,610
36,900,914,610
38,950,965,610
40,1000,1016,610
42,1050,1067,610
44,1100,1118,610
46,1150,1168,711
48,1200,1219,711
