,ND##length##inches,FOD##length##millimeters,Lgt##length##millimeters
0.75,0.75,26.7,38
1,1,33.4,51
1.25,1.25,42.2,51
1.5,1.5,48.3,64
2,2,60.3,76
2.5,2.5,73,89
3,3,88.9,89
3.5,3.5,101.6,102
4,4,114.3,102
5,5,141.3,127
6,6,168.3,140
8,8,219.1,152
10,10,273,178
12,12,323.8,203
14,14,355.6,330
16,16,406.4,356
18,18,457,381
20,20,508,508
22,22,559,508
24,24,610,508
26,26,660,610
28,28,711,610
30,30,762,610
32,32,813,610
34,34,864,610
36,36,914,610
38,38,965,610
40,40,1016,610
42,42,1067,610
44,44,1118,610
46,46,1168,711
48,48,1219,711
