,ND##length##inches,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,CtEI##length##millimeters,EtE##length##millimeters
0.375,0.375,5.8,17.1,2.54,25.8,12.7,49
0.5,0.5,6.3,21.3,2.67,30.4,15.5,58.9
0.75,0.75,6.9,26.7,3.05,37,18.3,70.4
1,1,7.6,33.4,3.4,45,21.6,83.3
1.25,1.25,8.7,42.2,3.68,54.7,25.9,100.1
1.5,1.5,9.3,48.3,3.94,61.6,27.9,111.3
2,2,10.7,60.3,4.39,75.3,37.5,131.3
2.5,2.5,12.1,73,5.33,91.2,38.6,158.8
3,3,13.9,88.9,5.87,108.8,43.4,184.4
4,4,16.8,114.4,6.73,137.2,51.1,228.1
