,ND1##length##inches,ND2##length##inches,ND3##length##inches,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,SBtSBR##length##inches,CtSBR##length##inches,CtSBB##length##inches
2x1.5x1.5,2,1.5,1.5,2.39,0.75,0.156,2.375,4.625,1.063,3.375
2x1.5x2,2,1.5,2,2.39,0.75,0.156,2.375,4.625,1.063,3.438
2x2x1.5,2,2,1.5,2.39,0.75,0.156,2.375,4.375,1.063,3.438
3x3x1.5,3,3,1.5,3.52,1.5,0.219,3.5,4.250,0.500,4.313
3x3x2,3,3,2,3.52,1.5,0.219,3.5,5.000,0.875,4.625
4x4x1.5,4,4,1.5,4.52,1.75,0.25,4.5,4.313,0.000,5.000
4x4x2,4,4,2,4.52,1.75,0.25,4.5,5.063,0.375,5.563
4x4x3,4,4,3,4.52,1.75,0.25,4.5,6.625,1.063,6.000
6x6x3,6,6,3,6.647,3,0.281,6.625,7.250,0.250,7.500
6x6x4,6,6,4,6.647,3,0.281,6.625,7.250,0.250,7.500
8x8x6,8,8,6,8.655,4,0.328,8.625,10.500,1.000,9.813
10x10x8,10,10,8,10.78,5,0.365,10.75,14.375,1.313,12.984
12x12x8,12,12,8,12.78,6,0.406,12.75,13.625,0.500,13.875
12x12x10,12,12,10,12.78,6,0.406,12.75,17.063,1.875,14.938
1.5,1.5,-1,-1,1.915,0.687,0.156,1.9,-1,-1,-1
